wavelength,gain_port_1,gain_port_2,gain_port_3,gain_port_4,gain_port_5,gain_port_6,gain_port_7,gain_port_8
1546.3927512739285,-19.853101285034285,-17.70907253605842,-15.942338930549013,-2.3560293377517114,-14.012768693782744,-18.589384485706272,-18.968535043612064,-10.1180974341464
1546.3577976615659,-20.35640084297745,-18.361585681825257,-15.955066380785425,-2.188985439181708,-14.328310198761208,-19.066117187848114,-19.454274369399034,-10.795611418674856
1546.3228456293034,-20.941654850869924,-19.09545421512898,-15.973320483053257,-2.036719994500093,-14.688546120344544,-19.58879431425515,-19.983716540737134,-11.515267471303153
1546.2878951770333,-21.622322772051096,-19.924184383587015,-15.995375501744347,-1.8988382431233999,-15.094978476594239,-20.158971514361856,-20.558683393154624,-12.27885576018399
1546.2529463046487,-22.4166838849601,-20.866099827288235,-16.019570889274455,-1.7750339876764862,-15.548148065129483,-20.777240697258428,-21.180023279143683,-13.087207233256098
1546.2179990120426,-23.350254251892313,-21.946760175379303,-16.044323303428,-1.6650865583812744,-16.046729234140205,-21.442328014169718,-21.846710329434874,-13.939287545932274
1546.1830532991078,-24.45998848984094,-23.203162880920164,-16.06814956884729,-1.5688510998302683,-16.58599453566449,-22.149558475833707,-22.55431119487914,-14.83066259498366
1546.148109165737,-25.802116492846196,-24.69158000451192,-16.08969043920045,-1.4862451625348139,-17.155338430624813,-22.888379608911187,-23.292510573432885,-15.75102298097094
1546.1131666118233,-27.46818429692777,-26.503599137989305,-16.10773517651272,-1.4172331560533147,-17.734573040749893,-23.63865714433893,-24.041408527776987,-16.68048038944221
1546.0782256372595,-29.62234787605013,-28.803417256882476,-16.121246598812885,-1.361810460238022,-18.289178558127784,-24.365925345889366,-24.766772226974876,-17.584818510378277
1546.0432862419386,-32.60601690428694,-31.93248453699962,-16.129385766026267,-1.3199889870615222,-18.76623581474697,-25.017319478321056,-25.41596964799617,-18.411426018935757
1546.0083484257534,-37.33968395475061,-36.81133360590525,-16.131534990043846,-1.291785742195036,-19.09578375242933,-25.522933152125333,-25.91932802035805,-19.09065438928707
1545.9734121885972,-48.22831329404093,-47.84496838823018,-16.12731749195205,-1.2772154898949173,-19.20452191273085,-25.80952066047898,-26.20383718417097,-19.549520701477643
1545.9384775303627,-42.63451728242903,-42.39604055519267,-16.116611892947557,-1.2762880431824806,-19.042844804948547,-25.827531161927,-26.220184776597385,-19.738742347044585
1545.9035444509427,-35.03135211246284,-34.93764531118687,-16.099559874355837,-1.2890100709265042,-18.609691504155222,-25.575958055385275,-25.96760666022289,-19.657587038649503
1545.8686129502305,-30.96451984549938,-31.015523477088166,-16.07656577238568,-1.3153907286368585,-17.95303048463108,-25.10282354663453,-25.494372663138797,-19.354358186157768
1545.833683028119,-28.184525244510983,-28.380218368769103,-16.048287518693286,-1.355449965962622,-17.145500063375895,-24.480818773794258,-24.873428071510084,-18.902036073418518
